,class_name,class_number,doc_path,doc_id,split
0,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084089090.tif,2084089090.tif,1
1,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084105160.tif,2084105160.tif,1
2,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084088668.tif,2084088668.tif,1
3,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084104906_4906a.tif,2084104906_4906a.tif,1
4,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084104903.tif,2084104903.tif,1
5,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084114220.tif,2084114220.tif,1
6,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084113577.tif,2084113577.tif,1
7,514,0,/home/lucasabm/datasets/la-cdip-2/514/2084088911.tif,2084088911.tif,1
8,156,1,/home/lucasabm/datasets/la-cdip-2/156/2080483195.tif,2080483195.tif,1
9,156,1,/home/lucasabm/datasets/la-cdip-2/156/2073891497.tif,2073891497.tif,1
10,156,1,/home/lucasabm/datasets/la-cdip-2/156/2070869014.tif,2070869014.tif,1
11,156,1,/home/lucasabm/datasets/la-cdip-2/156/2085595807.tif,2085595807.tif,1
12,478,2,/home/lucasabm/datasets/la-cdip-2/478/2075321199.tif,2075321199.tif,3
13,478,2,/home/lucasabm/datasets/la-cdip-2/478/2075806829.tif,2075806829.tif,3
14,478,2,/home/lucasabm/datasets/la-cdip-2/478/2075977880.tif,2075977880.tif,3
15,buy_down_eval,3,/home/lucasabm/datasets/la-cdip-2/buy_down_eval/96211323.tif,96211323.tif,4
16,buy_down_eval,3,/home/lucasabm/datasets/la-cdip-2/buy_down_eval/98862551.tif,98862551.tif,4
17,355,4,/home/lucasabm/datasets/la-cdip-2/355/2030162566_2030162567.tif,2030162566_2030162567.tif,0
18,355,4,/home/lucasabm/datasets/la-cdip-2/355/2030112062_2030112063.tif,2030112062_2030112063.tif,0
19,483,5,/home/lucasabm/datasets/la-cdip-2/483/89430187.tif,89430187.tif,2
20,483,5,/home/lucasabm/datasets/la-cdip-2/483/89430326.tif,89430326.tif,2
21,483,5,/home/lucasabm/datasets/la-cdip-2/483/89347797.tif,89347797.tif,2
22,402,6,/home/lucasabm/datasets/la-cdip-2/402/0060033134.tif,0060033134.tif,4
23,402,6,/home/lucasabm/datasets/la-cdip-2/402/0060033160.tif,0060033160.tif,4
24,402,6,/home/lucasabm/datasets/la-cdip-2/402/0060033194.tif,0060033194.tif,4
25,402,6,/home/lucasabm/datasets/la-cdip-2/402/0060033153.tif,0060033153.tif,4
26,402,6,/home/lucasabm/datasets/la-cdip-2/402/0060033168.tif,0060033168.tif,4
27,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026189043.tif,2026189043.tif,1
28,487,7,/home/lucasabm/datasets/la-cdip-2/487/2022952767.tif,2022952767.tif,1
29,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188450.tif,2026188450.tif,1
30,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026189618.tif,2026189618.tif,1
31,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026193784.tif,2026193784.tif,1
32,487,7,/home/lucasabm/datasets/la-cdip-2/487/2022952764.tif,2022952764.tif,1
33,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188405.tif,2026188405.tif,1
34,487,7,/home/lucasabm/datasets/la-cdip-2/487/2025992080.tif,2025992080.tif,1
35,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188575.tif,2026188575.tif,1
36,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188810.tif,2026188810.tif,1
37,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026192607.tif,2026192607.tif,1
38,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026192583.tif,2026192583.tif,1
39,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188264.tif,2026188264.tif,1
40,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188519.tif,2026188519.tif,1
41,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188743.tif,2026188743.tif,1
42,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188407.tif,2026188407.tif,1
43,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188384.tif,2026188384.tif,1
44,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026189010.tif,2026189010.tif,1
45,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026187902.tif,2026187902.tif,1
46,487,7,/home/lucasabm/datasets/la-cdip-2/487/2026188251.tif,2026188251.tif,1
47,360,8,/home/lucasabm/datasets/la-cdip-2/360/2051120099_2051120102.tif,2051120099_2051120102.tif,3
48,360,8,/home/lucasabm/datasets/la-cdip-2/360/2051119008.tif,2051119008.tif,3
49,414,9,/home/lucasabm/datasets/la-cdip-2/414/2040973901_2040973902.tif,2040973901_2040973902.tif,0
50,414,9,/home/lucasabm/datasets/la-cdip-2/414/2040974782_2040974783.tif,2040974782_2040974783.tif,0
51,463,10,/home/lucasabm/datasets/la-cdip-2/463/0011903368.tif,0011903368.tif,0
52,463,10,/home/lucasabm/datasets/la-cdip-2/463/0011903557.tif,0011903557.tif,0
53,463,10,/home/lucasabm/datasets/la-cdip-2/463/0011902694.tif,0011902694.tif,0
54,463,10,/home/lucasabm/datasets/la-cdip-2/463/0011903351.tif,0011903351.tif,0
55,415,11,/home/lucasabm/datasets/la-cdip-2/415/2073528608.tif,2073528608.tif,1
56,415,11,/home/lucasabm/datasets/la-cdip-2/415/2069751170_1171.tif,2069751170_1171.tif,1
