class_name,class_number,doc_path,doc_id,zsl_split,gzsl_split
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084089090.tif,2084089090.tif,3,5
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084105160.tif,2084105160.tif,3,1
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084088668.tif,2084088668.tif,3,3
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084104906_4906a.tif,2084104906_4906a.tif,3,5
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084104903.tif,2084104903.tif,3,3
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084114220.tif,2084114220.tif,3,1
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084113577.tif,2084113577.tif,3,4
514,0,/home/lucasabm/datasets/la-cdip-4/514/2084088911.tif,2084088911.tif,3,5
156,1,/home/lucasabm/datasets/la-cdip-4/156/2080483195.tif,2080483195.tif,0,1
156,1,/home/lucasabm/datasets/la-cdip-4/156/2073891497.tif,2073891497.tif,0,5
156,1,/home/lucasabm/datasets/la-cdip-4/156/2070869014.tif,2070869014.tif,0,3
156,1,/home/lucasabm/datasets/la-cdip-4/156/2085595807.tif,2085595807.tif,0,3
478,2,/home/lucasabm/datasets/la-cdip-4/478/2075321199.tif,2075321199.tif,3,3
478,2,/home/lucasabm/datasets/la-cdip-4/478/2075806829.tif,2075806829.tif,3,1
478,2,/home/lucasabm/datasets/la-cdip-4/478/2075977880.tif,2075977880.tif,3,2
buy_down_eval,3,/home/lucasabm/datasets/la-cdip-4/buy_down_eval/96211323.tif,96211323.tif,2,5
buy_down_eval,3,/home/lucasabm/datasets/la-cdip-4/buy_down_eval/98862551.tif,98862551.tif,2,3
355,4,/home/lucasabm/datasets/la-cdip-4/355/2030162566_2030162567.tif,2030162566_2030162567.tif,3,5
355,4,/home/lucasabm/datasets/la-cdip-4/355/2030112062_2030112063.tif,2030112062_2030112063.tif,3,1
483,5,/home/lucasabm/datasets/la-cdip-4/483/89430187.tif,89430187.tif,2,2
483,5,/home/lucasabm/datasets/la-cdip-4/483/89430326.tif,89430326.tif,2,2
483,5,/home/lucasabm/datasets/la-cdip-4/483/89347797.tif,89347797.tif,2,2
402,6,/home/lucasabm/datasets/la-cdip-4/402/0060033134.tif,0060033134.tif,5,0
402,6,/home/lucasabm/datasets/la-cdip-4/402/0060033160.tif,0060033160.tif,5,0
402,6,/home/lucasabm/datasets/la-cdip-4/402/0060033194.tif,0060033194.tif,5,0
402,6,/home/lucasabm/datasets/la-cdip-4/402/0060033153.tif,0060033153.tif,5,0
402,6,/home/lucasabm/datasets/la-cdip-4/402/0060033168.tif,0060033168.tif,5,0
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026189043.tif,2026189043.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2022952767.tif,2022952767.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188450.tif,2026188450.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026189618.tif,2026189618.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026193784.tif,2026193784.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2022952764.tif,2022952764.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188405.tif,2026188405.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2025992080.tif,2025992080.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188575.tif,2026188575.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188810.tif,2026188810.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026192607.tif,2026192607.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026192583.tif,2026192583.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188264.tif,2026188264.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188519.tif,2026188519.tif,1,5
487,7,/home/lucasabm/datasets/la-cdip-4/487/2026188743.tif,2026188743.tif,1,5
