,split_mode,split_number,file_a_idx,file_a_name,file_b_idx,file_b_name,is_equal
0,zsl_split,3,0,91384997.tif,7,512542923.tif,1
1,zsl_split,3,0,91384997.tif,18577,00950440_0447.tif,0
2,zsl_split,3,1,507789237.tif,2,ti06071125.tif,1
3,zsl_split,3,1,507789237.tif,27830,2028715354.tif,0
4,zsl_split,3,2,ti06071125.tif,1,507789237.tif,1
5,zsl_split,3,2,ti06071125.tif,28484,50579656-9663.tif,0
6,zsl_split,3,3,ti06211972.tif,6,2026167053.tif,1
7,zsl_split,3,3,ti06211972.tif,13050,2069730601.tif,0
8,zsl_split,3,4,2025774578.tif,7,512542923.tif,1
9,zsl_split,3,4,2025774578.tif,28443,60004384_60004386.tif,0
10,zsl_split,3,5,507711831.tif,7,512542923.tif,1
11,zsl_split,3,5,507711831.tif,29978,50519895-9895.tif,0
12,zsl_split,3,6,2026167053.tif,7,512542923.tif,1
13,zsl_split,3,6,2026167053.tif,18827,2030691332.tif,0
14,zsl_split,3,7,512542923.tif,3,ti06211972.tif,1
15,zsl_split,3,7,512542923.tif,7414,2051530011_2051530012.tif,0
16,zsl_split,3,8,tob08311.32.tif,4,2025774578.tif,1
17,zsl_split,3,8,tob08311.32.tif,48420,PUBLICATIONS056502-6.tif,0
18,zsl_split,3,11,508304737.tif,12,509458604_509458606.tif,1
19,zsl_split,3,11,508304737.tif,13191,2069717240.tif,0
20,zsl_split,3,12,509458604_509458606.tif,11,508304737.tif,1
21,zsl_split,3,12,509458604_509458606.tif,7417,2057460560_2057460561.tif,0
22,zsl_split,3,287,509131834.tif,288,509131835.tif,1
23,zsl_split,3,287,509131834.tif,5695,2040649504.tif,0
24,zsl_split,3,288,509131835.tif,287,509131834.tif,1
25,zsl_split,3,288,509131835.tif,27580,11014631_11014632.tif,0
26,zsl_split,3,297,96026186.tif,304,96018614.tif,1
27,zsl_split,3,297,96026186.tif,27877,50294374-4374.tif,0
28,zsl_split,3,298,95732864.tif,307,95732869.tif,1
29,zsl_split,3,298,95732864.tif,26508,40013170-3175.tif,0
30,zsl_split,3,299,95732868.tif,304,96018614.tif,1
31,zsl_split,3,299,95732868.tif,28988,2075787247_7263.tif,0
32,zsl_split,3,300,96112999a.tif,305,96158364_8365.tif,1
33,zsl_split,3,300,96112999a.tif,28589,50379938-9939.tif,0
34,zsl_split,3,301,95732859.tif,297,96026186.tif,1
35,zsl_split,3,301,95732859.tif,30377,2060549892_2060549900.tif,0
36,zsl_split,3,302,95732860.tif,310,96152870.tif,1
37,zsl_split,3,302,95732860.tif,12450,2069727832.tif,0
38,zsl_split,3,303,95732862.tif,311,96584270.tif,1
39,zsl_split,3,303,95732862.tif,68953,2040649857.tif,0
40,zsl_split,3,304,96018614.tif,309,95732874.tif,1
41,zsl_split,3,304,96018614.tif,29078,2070051921_1923.tif,0
42,zsl_split,3,305,96158364_8365.tif,306,96669872.tif,1
43,zsl_split,3,305,96158364_8365.tif,29759,50378043-8047.tif,0
44,zsl_split,3,306,96669872.tif,314,96045985.tif,1
45,zsl_split,3,306,96669872.tif,13754,2069726065.tif,0
46,zsl_split,3,307,95732869.tif,297,96026186.tif,1
47,zsl_split,3,307,95732869.tif,18741,tob07415.68.tif,0
48,zsl_split,3,308,95732873.tif,299,95732868.tif,1
49,zsl_split,3,308,95732873.tif,45127,71390442.tif,0
50,zsl_split,3,309,95732874.tif,303,95732862.tif,1
51,zsl_split,3,309,95732874.tif,18550,00856837_6842.tif,0
52,zsl_split,3,310,96152870.tif,303,95732862.tif,1
53,zsl_split,3,310,96152870.tif,4008,2082227260.tif,0
54,zsl_split,3,311,96584270.tif,309,95732874.tif,1
55,zsl_split,3,311,96584270.tif,52210,80317065.tif,0
56,zsl_split,3,312,95732871.tif,307,95732869.tif,1
57,zsl_split,3,312,95732871.tif,18691,88217454_88217494.tif,0
58,zsl_split,3,313,95732857.tif,314,96045985.tif,1
59,zsl_split,3,313,95732857.tif,12647,2069736810.tif,0
60,zsl_split,3,314,96045985.tif,310,96152870.tif,1
61,zsl_split,3,314,96045985.tif,18629,00950188_0201.tif,0
62,zsl_split,3,321,2028847749.tif,322,2028847751.tif,1
63,zsl_split,3,321,2028847749.tif,30955,50535528-5535.tif,0
64,zsl_split,3,322,2028847751.tif,321,2028847749.tif,1
65,zsl_split,3,322,2028847751.tif,29968,2501052046_2501052050.tif,0
66,zsl_split,3,380,96653335.tif,394,96653316.tif,1
67,zsl_split,3,380,96653335.tif,26205,1003171884_1003171891.tif,0
68,zsl_split,3,381,96653451.tif,389,96653067.tif,1
69,zsl_split,3,381,96653451.tif,29152,50535553-5553.tif,0
70,zsl_split,3,382,96653169.tif,387,96653124.tif,1
71,zsl_split,3,382,96653169.tif,23227,00922186_00922189.tif,0
72,zsl_split,3,383,96653178.tif,396,96653307.tif,1
73,zsl_split,3,383,96653178.tif,30003,2501701383_1395.tif,0
74,zsl_split,3,384,96653268.tif,391,96652671.tif,1
75,zsl_split,3,384,96653268.tif,13936,2069725305.tif,0
76,zsl_split,3,385,96653379.tif,394,96653316.tif,1
77,zsl_split,3,385,96653379.tif,29363,2029209332.tif,0
78,zsl_split,3,386,96653442.tif,395,96653250.tif,1
79,zsl_split,3,386,96653442.tif,68825,2045468118.tif,0
80,zsl_split,3,387,96653124.tif,391,96652671.tif,1
