,class_name,class_number,doc_path,doc_id,split
0,advertisement-_what's_the_tobacco-_sub1,0,/home/mari/pibic/flat/advertisement-_what's_the_tobacco-_sub1/91384997.tif,91384997.tif,1
1,advertisement-_what's_the_tobacco-_sub1,0,/home/mari/pibic/flat/advertisement-_what's_the_tobacco-_sub1/507789237.tif,507789237.tif,1
3,advertisement-_what's_the_tobacco-_sub1,0,/home/mari/pibic/flat/advertisement-_what's_the_tobacco-_sub1/ti06211972.tif,ti06211972.tif,0
6,advertisement-_what's_the_tobacco-_sub1,0,/home/mari/pibic/flat/advertisement-_what's_the_tobacco-_sub1/2026167053.tif,2026167053.tif,0
7,advertisement-_what's_the_tobacco-_sub1,0,/home/mari/pibic/flat/advertisement-_what's_the_tobacco-_sub1/512542923.tif,512542923.tif,4
9,advertisement-_a_whale_of_a_hit,1,/home/mari/pibic/flat/advertisement-_a_whale_of_a_hit/502592443.tif,502592443.tif,4
10,advertisement-_a_whale_of_a_hit,1,/home/mari/pibic/flat/advertisement-_a_whale_of_a_hit/502592445.tif,502592445.tif,0
11,form-_rjrt_research&development-_subpasta5,2,/home/mari/pibic/flat/form-_rjrt_research&development-_subpasta5/508304737.tif,508304737.tif,0
13,advertisement-_second_hand_smoke_how_much,3,/home/mari/pibic/flat/advertisement-_second_hand_smoke_how_much/512696082+-6082.tif,512696082+-6082.tif,1
14,advertisement-_second_hand_smoke_how_much,3,/home/mari/pibic/flat/advertisement-_second_hand_smoke_how_much/517225505+-5505.tif,517225505+-5505.tif,4
15,advertisement-_second_hand_smoke_how_much,3,/home/mari/pibic/flat/advertisement-_second_hand_smoke_how_much/511410636.tif,511410636.tif,4
16,advertisement-_second_hand_smoke_how_much,3,/home/mari/pibic/flat/advertisement-_second_hand_smoke_how_much/511410654.tif,511410654.tif,1
17,advertisement-_second_hand_smoke_how_much,3,/home/mari/pibic/flat/advertisement-_second_hand_smoke_how_much/511381198.tif,511381198.tif,3
18,form-_munger_tolles,4,/home/mari/pibic/flat/form-_munger_tolles/2077990323.tif,2077990323.tif,1
19,form-_munger_tolles,4,/home/mari/pibic/flat/form-_munger_tolles/2075066815.tif,2075066815.tif,1
20,form-_newport_lights,5,/home/mari/pibic/flat/form-_newport_lights/86236632_6634.tif,86236632_6634.tif,3
21,form-_newport_lights,5,/home/mari/pibic/flat/form-_newport_lights/95571891_1893.tif,95571891_1893.tif,3
22,advertisement-_virginia_slims,6,/home/mari/pibic/flat/advertisement-_virginia_slims/2058502547.tif,2058502547.tif,2
23,advertisement-_virginia_slims,6,/home/mari/pibic/flat/advertisement-_virginia_slims/2058502543.tif,2058502543.tif,2
24,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028836446_2028836448.tif,2028836446_2028836448.tif,3
25,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028967412_2028967413.tif,2028967412_2028967413.tif,3
26,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028826318_2028826319.tif,2028826318_2028826319.tif,3
27,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2029095812_2029095813.tif,2029095812_2029095813.tif,3
28,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028982330.tif,2028982330.tif,3
29,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2029026037.tif,2029026037.tif,3
30,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2029255998.tif,2029255998.tif,3
31,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028967471_2028967472.tif,2028967471_2028967472.tif,3
32,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2029095670.tif,2029095670.tif,3
33,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028976778.tif,2028976778.tif,3
34,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028967509_2028967510.tif,2028967509_2028967510.tif,3
35,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028976987.tif,2028976987.tif,3
36,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2029080973.tif,2029080973.tif,3
37,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2023188804.tif,2023188804.tif,3
38,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028821649.tif,2028821649.tif,3
39,form-_inbifo4-_subpasta2,7,/home/mari/pibic/flat/form-_inbifo4-_subpasta2/2028824547.tif,2028824547.tif,3
40,advertisement-_make_your_brake,8,/home/mari/pibic/flat/advertisement-_make_your_brake/2057910542.tif,2057910542.tif,1
41,advertisement-_make_your_brake,8,/home/mari/pibic/flat/advertisement-_make_your_brake/2063688253.tif,2063688253.tif,1
42,questionnaire-_77708,9,/home/mari/pibic/flat/questionnaire-_77708/0001233184.tif,0001233184.tif,4
43,questionnaire-_77708,9,/home/mari/pibic/flat/questionnaire-_77708/0001233189.tif,0001233189.tif,4
44,questionnaire-_77708,9,/home/mari/pibic/flat/questionnaire-_77708/0001233208.tif,0001233208.tif,4
45,questionnaire-_77708,9,/home/mari/pibic/flat/questionnaire-_77708/0001233181.tif,0001233181.tif,4
