split_mode,split_number,file_a_idx,file_a_name,file_b_idx,file_b_name,is_equal
zsl_split,4,0,91384997.tif,7,512542923.tif,1
zsl_split,4,0,91384997.tif,44003,528017922+-7922.tif,0
zsl_split,4,1,507789237.tif,4,2025774578.tif,1
zsl_split,4,1,507789237.tif,14515,505023631.tif,0
zsl_split,4,2,ti06071125.tif,4,2025774578.tif,1
zsl_split,4,2,ti06071125.tif,43007,530590247+-0247.tif,0
zsl_split,4,3,ti06211972.tif,8,tob08311.32.tif,1
zsl_split,4,3,ti06211972.tif,14405,504968388+-8392.tif,0
zsl_split,4,4,2025774578.tif,2,ti06071125.tif,1
zsl_split,4,4,2025774578.tif,82138,0000442762.tif,0
zsl_split,4,5,507711831.tif,6,2026167053.tif,1
zsl_split,4,5,507711831.tif,43647,528059665+-9665.tif,0
zsl_split,4,6,2026167053.tif,2,ti06071125.tif,1
zsl_split,4,6,2026167053.tif,44229,531378352+-8353.tif,0
zsl_split,4,7,512542923.tif,6,2026167053.tif,1
zsl_split,4,7,512542923.tif,8989,2057409930_2057409931.tif,0
zsl_split,4,8,tob08311.32.tif,6,2026167053.tif,1
zsl_split,4,8,tob08311.32.tif,16509,2023323559_2023323561.tif,0
zsl_split,4,406,503783127+-3127.tif,407,503783129+-3129.tif,1
zsl_split,4,406,503783127+-3127.tif,14389,500910325_500910326.tif,0
zsl_split,4,407,503783129+-3129.tif,406,503783127+-3127.tif,1
zsl_split,4,407,503783129+-3129.tif,15412,11287678.tif,0
zsl_split,4,498,2031551779.tif,500,2031551780.tif,1
zsl_split,4,498,2031551779.tif,27025,93503327.tif,0
zsl_split,4,499,2031551769.tif,501,2031551758.tif,1
zsl_split,4,499,2031551769.tif,40724,0001233875.tif,0
zsl_split,4,500,2031551780.tif,502,2031551753.tif,1
zsl_split,4,500,2031551780.tif,14550,506362283.tif,0
zsl_split,4,501,2031551758.tif,500,2031551780.tif,1
zsl_split,4,501,2031551758.tif,16355,2085241348.tif,0
zsl_split,4,502,2031551753.tif,500,2031551780.tif,1
zsl_split,4,502,2031551753.tif,16140,501125094.tif,0
zsl_split,4,503,2031551756.tif,501,2031551758.tif,1
zsl_split,4,503,2031551756.tif,61226,2041736752.tif,0
zsl_split,4,504,2031551766.tif,501,2031551758.tif,1
zsl_split,4,504,2031551766.tif,43438,527800143+-0143.tif,0
zsl_split,4,511,01257086.tif,512,01585745_01585747.tif,1
zsl_split,4,511,01257086.tif,61102,2041096969.tif,0
zsl_split,4,512,01585745_01585747.tif,511,01257086.tif,1
zsl_split,4,512,01585745_01585747.tif,9000,2057720987_2057720988.tif,0
zsl_split,4,1187,2020346642.tif,1189,2030471663.tif,1
zsl_split,4,1187,2020346642.tif,58079,2023509750_2023509761.tif,0
zsl_split,4,1188,2025324595.tif,1187,2020346642.tif,1
zsl_split,4,1188,2025324595.tif,9117,2057475185_2057475186.tif,0
zsl_split,4,1189,2030471663.tif,1188,2025324595.tif,1
zsl_split,4,1189,2030471663.tif,61101,2040764568.tif,0
zsl_split,4,1190,2024579555.tif,1187,2020346642.tif,1
zsl_split,4,1190,2024579555.tif,16821,2080131455.tif,0
zsl_split,4,1191,2021562017_2021562019.tif,1188,2025324595.tif,1
zsl_split,4,1191,2021562017_2021562019.tif,43970,528431867+-1867.tif,0
zsl_split,4,1192,509133573+-3573.tif,1194,509133704+-3704.tif,1
zsl_split,4,1192,509133573+-3573.tif,1642,tcal0208723.tif,0
zsl_split,4,1193,509133699+-3699.tif,1194,509133704+-3704.tif,1
zsl_split,4,1193,509133699+-3699.tif,3733,529226827+-6830.tif,0
zsl_split,4,1194,509133704+-3704.tif,1193,509133699+-3699.tif,1
zsl_split,4,1194,509133704+-3704.tif,62169,522004429+-4429.tif,0
zsl_split,4,1195,509133541+-3541.tif,1192,509133573+-3573.tif,1
zsl_split,4,1195,509133541+-3541.tif,17762,506813022.tif,0
zsl_split,4,1345,0000138971.tif,1346,0000138960.tif,1
zsl_split,4,1345,0000138971.tif,6969,513592887.tif,0
zsl_split,4,1346,0000138960.tif,1345,0000138971.tif,1
zsl_split,4,1346,0000138960.tif,25944,03333479.tif,0
zsl_split,4,1364,99156754_6769.tif,1705,tcal0392360.tif,1
zsl_split,4,1364,99156754_6769.tif,44701,528749243+-9244.tif,0
zsl_split,4,1365,ton04907.91.tif,1914,2070622115_2124.tif,1
zsl_split,4,1365,ton04907.91.tif,43152,528834008+-4009.tif,0
zsl_split,4,1366,0000129020.tif,1525,04003257.tif,1
zsl_split,4,1366,0000129020.tif,14612,500559063+-9065.tif,0
zsl_split,4,1367,0000105772.tif,1423,2040765697.tif,1
zsl_split,4,1367,0000105772.tif,43425,527925201+-5202.tif,0
zsl_split,4,1368,0000231760.tif,1600,2085557572.tif,1
zsl_split,4,1368,0000231760.tif,20278,2070262281.tif,0
zsl_split,4,1369,2040700156_2040700186.tif,1387,2040700822_2040700843.tif,1
zsl_split,4,1369,2040700156_2040700186.tif,15347,2065510550_0551.tif,0
zsl_split,4,1370,0000176150.tif,1780,93343125.tif,1
zsl_split,4,1370,0000176150.tif,47996,03701342.tif,0
zsl_split,4,1371,2040279272_2040279283.tif,1846,tim00303.96_tim00304.06.tif,1
zsl_split,4,1371,2040279272_2040279283.tif,14876,0012203812.tif,0
zsl_split,4,1372,89918423_89918432.tif,1833,2040795233_2040795242.tif,1
zsl_split,4,1372,89918423_89918432.tif,61319,2041244164.tif,0
zsl_split,4,1373,0000184288.tif,1614,2070315860.tif,1
zsl_split,4,1373,0000184288.tif,50088,01322703.tif,0
zsl_split,4,1374,2063260000.tif,1810,0000217581.tif,1
zsl_split,4,1374,2063260000.tif,16302,504330358_504330359.tif,0
zsl_split,4,1375,tob07415.49_tob07415.65.tif,1398,2070594762_4774.tif,1
zsl_split,4,1375,tob07415.49_tob07415.65.tif,43154,531302738+-2740.tif,0
zsl_split,4,1376,tim01042.61_tim01042.63.tif,1408,2070621925_1934.tif,1
zsl_split,4,1376,tim01042.61_tim01042.63.tif,8914,2057435861_2057435862.tif,0
zsl_split,4,1377,ti31629250_9259.tif,1557,2040784102_2040784125.tif,1
zsl_split,4,1377,ti31629250_9259.tif,22471,11011388.tif,0
zsl_split,4,1378,87774413.tif,1472,2040783660.tif,1
zsl_split,4,1378,87774413.tif,15538,03568501.tif,0
zsl_split,4,1379,83311519_1521.tif,1920,0000139919.tif,1
zsl_split,4,1379,83311519_1521.tif,16252,502947803.tif,0
zsl_split,4,1380,2048354137_2048354142.tif,1462,2064946018.tif,1
zsl_split,4,1380,2048354137_2048354142.tif,14976,2076397019.tif,0
zsl_split,4,1381,2040699681_2040699703.tif,1403,2074075357_5358.tif,1
zsl_split,4,1381,2040699681_2040699703.tif,8784,50694772-4772.tif,0
zsl_split,4,1382,ti31629367_9370.tif,1599,1000218586_1000218590.tif,1
zsl_split,4,1382,ti31629367_9370.tif,42115,528442233+-2233.tif,0
zsl_split,4,1383,tnwl0000635_0640.tif,1747,03055551_03055560.tif,1
zsl_split,4,1383,tnwl0000635_0640.tif,41717,527803404+-3404.tif,0
zsl_split,4,1384,ti16680081_0085.tif,1738,2042497328_2042497340.tif,1
zsl_split,4,1384,ti16680081_0085.tif,43213,529298565+-8565.tif,0
zsl_split,4,1385,85583194_3244.tif,1787,tob14727.72_tob14727.92.tif,1
zsl_split,4,1385,85583194_3244.tif,42801,530299585+-9585.tif,0
zsl_split,4,1386,91634979_91634985.tif,1520,tnwl0044884.tif,1
zsl_split,4,1386,91634979_91634985.tif,14323,506994158+-4160.tif,0
zsl_split,4,1387,2040700822_2040700843.tif,1447,ti06070404_0420.tif,1
zsl_split,4,1387,2040700822_2040700843.tif,44669,530509521+-9524.tif,0
zsl_split,4,1388,83311385.tif,1482,0000184452.tif,1
zsl_split,4,1388,83311385.tif,61401,87399401.tif,0
zsl_split,4,1389,2031032543_2031032544.tif,1395,91016651_91016652.tif,1
zsl_split,4,1389,2031032543_2031032544.tif,16631,2080142988.tif,0
zsl_split,4,1390,0000339855.tif,1760,2077864403_4406.tif,1
zsl_split,4,1390,0000339855.tif,14288,50314109-4109.tif,0
zsl_split,4,1391,ti16680157_0163.tif,1534,ti17490934_0941.tif,1
zsl_split,4,1391,ti16680157_0163.tif,17374,505050039.tif,0
zsl_split,4,1392,2041586303.tif,1694,ti17030267.tif,1
zsl_split,4,1392,2041586303.tif,22344,tnwl0034352.tif,0
zsl_split,4,1393,01680000_01680028.tif,1871,ti17461088_1096.tif,1
zsl_split,4,1393,01680000_01680028.tif,43826,527881036+-1036.tif,0
zsl_split,4,1394,91083159.tif,1903,2041722461_2041722471.tif,1
zsl_split,4,1394,91083159.tif,8950,2057164214_2057164215.tif,0
zsl_split,4,1395,91016651_91016652.tif,1525,04003257.tif,1
zsl_split,4,1395,91016651_91016652.tif,43724,528800709+-0709.tif,0
zsl_split,4,1396,03076815_03076822.tif,1749,ti16351152_1157.tif,1
zsl_split,4,1396,03076815_03076822.tif,48487,98398972.tif,0
zsl_split,4,1397,2040783752_2040783783.tif,1644,2077460027_0036.tif,1
zsl_split,4,1397,2040783752_2040783783.tif,21354,2084091118_1119.tif,0
zsl_split,4,1398,2070594762_4774.tif,1616,89918361_89918378.tif,1
zsl_split,4,1398,2070594762_4774.tif,56815,2084619326_9327.tif,0
zsl_split,4,1399,2073808459.tif,1779,tnwl0022592.tif,1
zsl_split,4,1399,2073808459.tif,41585,528696786+-6789.tif,0
zsl_split,4,1400,0000316622.tif,1486,2070594710_4722.tif,1
zsl_split,4,1400,0000316622.tif,43582,527801347+-1347.tif,0
zsl_split,4,1401,83565410_5411.tif,1372,89918423_89918432.tif,1
zsl_split,4,1401,83565410_5411.tif,14914,2072123032.tif,0
zsl_split,4,1402,2043190103_2043190107.tif,1546,2072483023_3024.tif,1
zsl_split,4,1402,2043190103_2043190107.tif,38342,2083841115.tif,0
zsl_split,4,1403,2074075357_5358.tif,1406,88093460_88093466.tif,1
zsl_split,4,1403,2074075357_5358.tif,41426,531726431+-6431.tif,0
zsl_split,4,1404,0000077887.tif,1405,86653372_3389.tif,1
zsl_split,4,1404,0000077887.tif,16659,2080368502_8503.tif,0
zsl_split,4,1405,86653372_3389.tif,1905,04003311.tif,1
zsl_split,4,1405,86653372_3389.tif,16362,513827244+-7244.tif,0
zsl_split,4,1406,88093460_88093466.tif,1782,94311341_1386.tif,1
zsl_split,4,1406,88093460_88093466.tif,41794,528341275+-1275.tif,0
zsl_split,4,1407,tob14726.10_tob14726.14.tif,1876,ti16810379_0380.tif,1
zsl_split,4,1407,tob14726.10_tob14726.14.tif,16964,518789128+-9129.tif,0
zsl_split,4,1408,2070621925_1934.tif,1493,83786080_6092.tif,1
zsl_split,4,1408,2070621925_1934.tif,50756,2070001122_1123.tif,0
zsl_split,4,1409,0000184258.tif,1500,86618509_8519.tif,1
zsl_split,4,1409,0000184258.tif,44254,528028120+-8120.tif,0
zsl_split,4,1410,ti16570615.tif,1723,to167a14.31_to167a14.61.tif,1
zsl_split,4,1410,ti16570615.tif,42277,528053890+-3890.tif,0
zsl_split,4,1411,2085536137.tif,1715,2024416663.tif,1
zsl_split,4,1411,2085536137.tif,5978,0001140993.tif,0
zsl_split,4,1412,2045032616_2045032650.tif,1535,2073162982_2983.tif,1
zsl_split,4,1412,2045032616_2045032650.tif,14024,503816173+-6173.tif,0
zsl_split,4,1413,92124280_92124284.tif,1411,2085536137.tif,1
zsl_split,4,1413,92124280_92124284.tif,14654,500127447+-7448.tif,0
zsl_split,4,1414,2046900736_0844.tif,1650,0000444698.tif,1
zsl_split,4,1414,2046900736_0844.tif,26478,ti14580707.tif,0
zsl_split,4,1415,2070619692_9701.tif,1618,tnwl0024598.tif,1
zsl_split,4,1415,2070619692_9701.tif,51524,84460740_84460747.tif,0
zsl_split,4,1416,tob14726.01_tob14726.09.tif,1398,2070594762_4774.tif,1
zsl_split,4,1416,tob14726.01_tob14726.09.tif,42196,527898355+-8355.tif,0
zsl_split,4,1417,2070611856_1866.tif,1873,tim00775.91.tif,1
zsl_split,4,1417,2070611856_1866.tif,17559,60018669.tif,0
zsl_split,4,1418,2020126921_6927.tif,1604,81186958_81186965.tif,1
zsl_split,4,1418,2020126921_6927.tif,8932,2057441301_2057441302.tif,0
zsl_split,4,1419,2065010459.tif,1658,0000167752.tif,1
zsl_split,4,1419,2065010459.tif,44041,527891995+-1995.tif,0
zsl_split,4,1420,tob13716.67_tob13716.74.tif,1502,2073880802_0804.tif,1
zsl_split,4,1420,tob13716.67_tob13716.74.tif,14749,2026513591.tif,0
zsl_split,4,1421,0000430859.tif,1648,2065523124_3125.tif,1
zsl_split,4,1421,0000430859.tif,43920,528808262+-8266.tif,0
zsl_split,4,1422,ti17461109_1115.tif,1672,tcal0131403.tif,1
zsl_split,4,1422,ti17461109_1115.tif,22535,18004791.tif,0
zsl_split,4,1423,2040765697.tif,1653,0000157347.tif,1
zsl_split,4,1423,2040765697.tif,9067,2057475046_2057475047.tif,0
zsl_split,4,1424,2046892440.tif,1619,2070618517_8554.tif,1
zsl_split,4,1424,2046892440.tif,58231,2076269947.tif,0
zsl_split,4,1425,2072371354.tif,1760,2077864403_4406.tif,1
zsl_split,4,1425,2072371354.tif,55493,0001046053.tif,0
zsl_split,4,1426,2044321601_2044321668.tif,1810,0000217581.tif,1
zsl_split,4,1426,2044321601_2044321668.tif,44981,528346742+-6742.tif,0
zsl_split,4,1427,2075247908.tif,1781,93227578_93227593.tif,1
zsl_split,4,1427,2075247908.tif,8792,92004956.tif,0
zsl_split,4,1428,03301147_03301178.tif,1381,2040699681_2040699703.tif,1
zsl_split,4,1428,03301147_03301178.tif,22353,tnwl0044369.tif,0
zsl_split,4,1429,ti31629288_9298.tif,1405,86653372_3389.tif,1
zsl_split,4,1429,ti31629288_9298.tif,6076,82570126_0127.tif,0
zsl_split,4,1430,0000339055.tif,1760,2077864403_4406.tif,1
zsl_split,4,1430,0000339055.tif,15241,504360421.tif,0
zsl_split,4,1431,tim01045.56.tif,1675,2040681658.tif,1
zsl_split,4,1431,tim01045.56.tif,43059,527806623+-6623.tif,0
zsl_split,4,1432,04003264.tif,1721,tnwl0033939_3940.tif,1
zsl_split,4,1432,04003264.tif,42065,527868730+-8730.tif,0
zsl_split,4,1433,tnwl0022476.tif,1516,81186967_81186977.tif,1
zsl_split,4,1433,tnwl0022476.tif,14020,2077934776_4777.tif,0
zsl_split,4,1434,ti16352375_2377.tif,1447,ti06070404_0420.tif,1
zsl_split,4,1434,ti16352375_2377.tif,61216,2040763681.tif,0
zsl_split,4,1435,2041722472_2041722593.tif,1664,03070672_0690.tif,1
zsl_split,4,1435,2041722472_2041722593.tif,2672,2075804547.tif,0
zsl_split,4,1436,2025472206.tif,1722,ti16370182_0183.tif,1
zsl_split,4,1436,2025472206.tif,25118,2078497681.tif,0
zsl_split,4,1437,2040700941_2040700963.tif,1795,tnwl0022486.tif,1
