,class_name,class_number,doc_path,doc_id,split
0,test_request_form,0,separacao-rvl_cdip/test_request_form/2058003688.tif,2058003688.tif,0
1,test_request_form,0,separacao-rvl_cdip/test_request_form/2058003684_2058003685.tif,2058003684_2058003685.tif,0
2,test_request_form,0,separacao-rvl_cdip/test_request_form/2058003689_2058003690.tif,2058003689_2058003690.tif,0
3,test_request_form,0,separacao-rvl_cdip/test_request_form/2058003922.tif,2058003922.tif,0
4,test_request_form,0,separacao-rvl_cdip/test_request_form/2058003944.tif,2058003944.tif,0
5,test_request_form,0,separacao-rvl_cdip/test_request_form/2058003961.tif,2058003961.tif,0
6,microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87103742.tif,87103742.tif,4
7,microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87103744.tif,87103744.tif,4
8,microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87104266.tif,87104266.tif,4
9,microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87103743.tif,87103743.tif,4
10,screener_2,2,separacao-rvl_cdip/screener_2/2041078996.tif,2041078996.tif,3
11,screener_2,2,separacao-rvl_cdip/screener_2/2041075290_2041075298.tif,2041075290_2041075298.tif,3
12,screener_2,2,separacao-rvl_cdip/screener_2/2041076199_2041076204.tif,2041076199_2041076204.tif,3
13,screener_2,2,separacao-rvl_cdip/screener_2/2041074724.tif,2041074724.tif,3
14,screener_2,2,separacao-rvl_cdip/screener_2/2041074986.tif,2041074986.tif,3
15,screener_2,2,separacao-rvl_cdip/screener_2/2041079398_2041079406.tif,2041079398_2041079406.tif,3
16,screener_2,2,separacao-rvl_cdip/screener_2/2041075660_2041075670.tif,2041075660_2041075670.tif,3
17,screener_2,2,separacao-rvl_cdip/screener_2/2041078986.tif,2041078986.tif,3
18,screener_2,2,separacao-rvl_cdip/screener_2/2040251430.tif,2040251430.tif,3
20,infbio_vorgang,3,separacao-rvl_cdip/infbio_vorgang/2505100571.tif,2505100571.tif,1
21,infbio_vorgang,3,separacao-rvl_cdip/infbio_vorgang/2505104445.tif,2505104445.tif,1
22,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/514879134+-9135.tif,514879134+-9135.tif,3
28,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518219637+-9638.tif,518219637+-9638.tif,2
29,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/514879669+-9670.tif,514879669+-9670.tif,1
30,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518301918+-1919.tif,518301918+-1919.tif,4
31,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518219787+-9788.tif,518219787+-9788.tif,3
33,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518219699+-9700.tif,518219699+-9700.tif,0
35,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518302370+-2371.tif,518302370+-2371.tif,0
37,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/514879965+-9966.tif,514879965+-9966.tif,0
39,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/514878880+-8881.tif,514878880+-8881.tif,0
41,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518301888+-1889.tif,518301888+-1889.tif,0
42,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518302430+-2431.tif,518302430+-2431.tif,3
43,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/514879666+-9667.tif,514879666+-9667.tif,2
44,joes_vip_headquarters_dear_valued_costumer,4,separacao-rvl_cdip/joes_vip_headquarters_dear_valued_costumer/518301962+-1963.tif,518301962+-1963.tif,4
45,research_and_development,5,separacao-rvl_cdip/research_and_development/2057239519.tif,2057239519.tif,2
