,split_mode,split_number,file_a_idx,file_a_name,file_b_idx,file_b_name,is_equal
0,zsl_split,1,0,2058003688.tif,2,2058003689_2058003690.tif,1
1,zsl_split,1,0,2058003688.tif,1785,2072822475.tif,0
2,zsl_split,1,1,2058003684_2058003685.tif,3,2058003922.tif,1
3,zsl_split,1,1,2058003684_2058003685.tif,4669,0001219688.tif,0
4,zsl_split,1,2,2058003689_2058003690.tif,0,2058003688.tif,1
5,zsl_split,1,2,2058003689_2058003690.tif,14,2041074986.tif,0
6,zsl_split,1,3,2058003922.tif,2,2058003689_2058003690.tif,1
7,zsl_split,1,3,2058003922.tif,2479,522717784+-7785.tif,0
8,zsl_split,1,4,2058003944.tif,3,2058003922.tif,1
9,zsl_split,1,4,2058003944.tif,2339,522705084+-5085.tif,0
10,zsl_split,1,5,2058003961.tif,0,2058003688.tif,1
11,zsl_split,1,5,2058003961.tif,1739,2074230414.tif,0
12,zsl_split,1,10,2041078996.tif,17,2041078986.tif,1
13,zsl_split,1,10,2041078996.tif,2174,522677579+-7580.tif,0
14,zsl_split,1,11,2041075290_2041075298.tif,18,2040251430.tif,1
15,zsl_split,1,11,2041075290_2041075298.tif,3737,0001233190.tif,0
16,zsl_split,1,12,2041076199_2041076204.tif,10,2041078996.tif,1
17,zsl_split,1,12,2041076199_2041076204.tif,1750,2074212141.tif,0
18,zsl_split,1,13,2041074724.tif,12,2041076199_2041076204.tif,1
19,zsl_split,1,13,2041074724.tif,1232,2063195542.tif,0
20,zsl_split,1,14,2041074986.tif,16,2041075660_2041075670.tif,1
21,zsl_split,1,14,2041074986.tif,2384,522749409+-9410.tif,0
22,zsl_split,1,15,2041079398_2041079406.tif,14,2041074986.tif,1
23,zsl_split,1,15,2041079398_2041079406.tif,3319,0001219576.tif,0
24,zsl_split,1,16,2041075660_2041075670.tif,10,2041078996.tif,1
25,zsl_split,1,16,2041075660_2041075670.tif,1674,2073623961.tif,0
26,zsl_split,1,17,2041078986.tif,12,2041076199_2041076204.tif,1
27,zsl_split,1,17,2041078986.tif,4045,2075333610.tif,0
28,zsl_split,1,18,2040251430.tif,15,2041079398_2041079406.tif,1
29,zsl_split,1,18,2040251430.tif,1747,2077934249.tif,0
30,zsl_split,1,78,0001239824.tif,83,0001240016.tif,1
31,zsl_split,1,78,0001239824.tif,1758,2075466736.tif,0
32,zsl_split,1,79,0001229994.tif,78,0001239824.tif,1
33,zsl_split,1,79,0001229994.tif,2348,522705210+-5211.tif,0
34,zsl_split,1,80,0001229949.tif,82,0001239924.tif,1
35,zsl_split,1,80,0001229949.tif,2484,522776631+-6632.tif,0
36,zsl_split,1,81,0001219475.tif,85,0001247450.tif,1
37,zsl_split,1,81,0001219475.tif,2352,522776677+-6678.tif,0
38,zsl_split,1,82,0001239924.tif,86,0001229955.tif,1
39,zsl_split,1,82,0001239924.tif,2504,522719886+-9887.tif,0
40,zsl_split,1,83,0001240016.tif,82,0001239924.tif,1
41,zsl_split,1,83,0001240016.tif,3299,0001219755.tif,0
42,zsl_split,1,84,0001247598.tif,80,0001229949.tif,1
43,zsl_split,1,84,0001247598.tif,4083,81303586.tif,0
44,zsl_split,1,85,0001247450.tif,87,0001247610.tif,1
45,zsl_split,1,85,0001247450.tif,4938,2082706860c.tif,0
46,zsl_split,1,86,0001229955.tif,83,0001240016.tif,1
47,zsl_split,1,86,0001229955.tif,3323,0001219689.tif,0
48,zsl_split,1,87,0001247610.tif,83,0001240016.tif,1
49,zsl_split,1,87,0001247610.tif,2429,518294239+-4240.tif,0
50,zsl_split,1,88,0001229948.tif,79,0001229994.tif,1
51,zsl_split,1,88,0001229948.tif,2162,522677458+-7459.tif,0
52,zsl_split,1,170,2505406743.tif,177,2505406844.tif,1
53,zsl_split,1,170,2505406743.tif,1206,0000067071.tif,0
54,zsl_split,1,171,2502339467.tif,191,2505370225.tif,1
55,zsl_split,1,171,2502339467.tif,2491,518139384+-9385.tif,0
56,zsl_split,1,172,2505406564.tif,178,2505431006.tif,1
57,zsl_split,1,172,2505406564.tif,2362,522768589+-8590.tif,0
58,zsl_split,1,173,2028872752.tif,182,2505152634.tif,1
59,zsl_split,1,173,2028872752.tif,4092,81303576.tif,0
60,zsl_split,1,174,2505163683_3684.tif,177,2505406844.tif,1
61,zsl_split,1,174,2505163683_3684.tif,1779,2075318725.tif,0
62,zsl_split,1,175,2505412134.tif,172,2505406564.tif,1
63,zsl_split,1,175,2505412134.tif,1723,2074135010.tif,0
64,zsl_split,1,176,2505406144.tif,175,2505412134.tif,1
65,zsl_split,1,176,2505406144.tif,983,2057124204_4207.tif,0
66,zsl_split,1,177,2505406844.tif,181,2505406588.tif,1
67,zsl_split,1,177,2505406844.tif,2361,522814910+-4911.tif,0
68,zsl_split,1,178,2505431006.tif,190,2505415270.tif,1
69,zsl_split,1,178,2505431006.tif,1230,2063195217.tif,0
70,zsl_split,1,179,2505156240.tif,187,2028718358.tif,1
71,zsl_split,1,179,2505156240.tif,2358,522749373+-9374.tif,0
72,zsl_split,1,180,2505406683.tif,176,2505406144.tif,1
73,zsl_split,1,180,2505406683.tif,4047,2070586425.tif,0
74,zsl_split,1,181,2505406588.tif,186,2505430460.tif,1
75,zsl_split,1,181,2505406588.tif,4944,2085764112e_4113.tif,0
76,zsl_split,1,182,2505152634.tif,181,2505406588.tif,1
77,zsl_split,1,182,2505152634.tif,1722,2074134138.tif,0
78,zsl_split,1,183,2505411616.tif,176,2505406144.tif,1
79,zsl_split,1,183,2505411616.tif,4952,2078299893a.tif,0
80,zsl_split,1,184,2029207586.tif,178,2505431006.tif,1
81,zsl_split,1,184,2029207586.tif,4055,2047611264.tif,0
82,zsl_split,1,185,2501852543.tif,171,2502339467.tif,1
83,zsl_split,1,185,2501852543.tif,3533,2050627338.tif,0
84,zsl_split,1,186,2505430460.tif,172,2505406564.tif,1
85,zsl_split,1,186,2505430460.tif,1204,0000053194.tif,0
86,zsl_split,1,187,2028718358.tif,192,2505164012.tif,1
87,zsl_split,1,187,2028718358.tif,2190,522749783+-9784.tif,0
88,zsl_split,1,188,2064275073.tif,185,2501852543.tif,1
89,zsl_split,1,188,2064275073.tif,3324,0001219521.tif,0
90,zsl_split,1,189,2505104460.tif,176,2505406144.tif,1
91,zsl_split,1,189,2505104460.tif,4052,2047577604.tif,0
92,zsl_split,1,190,2505415270.tif,186,2505430460.tif,1
93,zsl_split,1,190,2505415270.tif,3730,0001233186.tif,0
94,zsl_split,1,191,2505370225.tif,171,2502339467.tif,1
95,zsl_split,1,191,2505370225.tif,1187,0000062602.tif,0
96,zsl_split,1,192,2505164012.tif,185,2501852543.tif,1
97,zsl_split,1,192,2505164012.tif,3295,0001219563.tif,0
98,zsl_split,1,193,2505430583.tif,180,2505406683.tif,1
99,zsl_split,1,193,2505430583.tif,4671,0001219728.tif,0
100,zsl_split,1,194,2505430396.tif,179,2505156240.tif,1
101,zsl_split,1,194,2505430396.tif,1222,0000052150.tif,0
102,zsl_split,1,195,2505430398.tif,190,2505415270.tif,1
103,zsl_split,1,195,2505430398.tif,3536,2050627119_2050627121.tif,0
104,zsl_split,1,661,2505104996_4997.tif,670,2029179957.tif,1
105,zsl_split,1,661,2505104996_4997.tif,961,0001209721.tif,0
106,zsl_split,1,662,2029270170_0171.tif,673,2505126378_6379.tif,1
107,zsl_split,1,662,2029270170_0171.tif,12,2041076199_2041076204.tif,0
108,zsl_split,1,663,2029178887_8888.tif,671,2029179401_2029179402.tif,1
109,zsl_split,1,663,2029178887_8888.tif,1698,2075548494.tif,0
110,zsl_split,1,664,2029179433_2029179434.tif,674,2029179435_2029179436.tif,1
111,zsl_split,1,664,2029179433_2029179434.tif,1707,2074960474.tif,0
112,zsl_split,1,665,2505233639_3640.tif,662,2029270170_0171.tif,1
113,zsl_split,1,665,2505233639_3640.tif,4094,81303629.tif,0
114,zsl_split,1,666,2505104068_4069.tif,673,2505126378_6379.tif,1
115,zsl_split,1,666,2505104068_4069.tif,1712,2073428498.tif,0
116,zsl_split,1,667,2029178828_2029178829.tif,670,2029179957.tif,1
117,zsl_split,1,667,2029178828_2029178829.tif,4969,2070044964a.tif,0
118,zsl_split,1,668,2505100614_0615.tif,672,2029179489_2029179490.tif,1
119,zsl_split,1,668,2505100614_0615.tif,2472,524359494+-9495.tif,0
120,zsl_split,1,669,2505132709_2710.tif,664,2029179433_2029179434.tif,1
121,zsl_split,1,669,2505132709_2710.tif,4073,81303635.tif,0
122,zsl_split,1,670,2029179957.tif,664,2029179433_2029179434.tif,1
123,zsl_split,1,670,2029179957.tif,4035,2040237327.tif,0
124,zsl_split,1,671,2029179401_2029179402.tif,664,2029179433_2029179434.tif,1
125,zsl_split,1,671,2029179401_2029179402.tif,1227,0000060972.tif,0
126,zsl_split,1,672,2029179489_2029179490.tif,664,2029179433_2029179434.tif,1
127,zsl_split,1,672,2029179489_2029179490.tif,85,0001247450.tif,0
128,zsl_split,1,673,2505126378_6379.tif,666,2505104068_4069.tif,1
